time,voltage,current,SOC_true,SOC_kf
0,14.9206310273647,3.75852352736475,0.5,0.600147452574371
1,14.9583497472359,3.79710978965445,0.500154320987654,0.600298887365509
2,14.9217439183399,3.76134586048964,0.500308641975309,0.600445566275146
3,15.214570397046,4.05498953090463,0.500462962962963,0.600640415543829
4,14.9213956160792,3.7626081330102,0.500617283950617,0.60077439651112
5,15.0448135509485,3.88679650780612,0.500771604938272,0.600938847011876
6,15.0098435509121,3.85257483747332,0.500925925925926,0.601092614249274
7,14.9326093816663,3.77606768933584,0.50108024691358,0.601219003555394
8,15.0200396628726,3.86420445461,0.501234567901235,0.601378538983773
9,14.9311656046701,3.77601708608761,0.501388888888889,0.601497968270305
10,15.0816463823865,3.92716547397168,0.501543209876543,0.601690076922779
11,14.8240548814107,3.67022319182769,0.501697530864198,0.601741600081693
12,15.1263539216212,3.97315372204679,0.501851851851852,0.601970181247532
13,14.967154697431,3.81456889688363,0.502006172839506,0.602095998290967
14,15.0163564142904,3.8643685359132,0.502160493827161,0.602254639877393
15,14.9445099134302,3.79310407168798,0.502314814814815,0.602357457419678
16,14.9180222142184,3.76718309297324,0.502469135802469,0.602435904621984
17,15.2244278942656,4.07414072569508,0.502623456790123,0.602778781058347
18,14.9818568759043,3.83210742022935,0.502777777777778,0.602899107550811
19,15.0458794305957,3.89665395658479,0.502932098765432,0.603080593983849
20,14.9364435565244,3.7877288227437,0.503086419753086,0.603146193444915
21,14.951720929047,3.80350416582703,0.503240740740741,0.603224964713523
22,14.9871796258926,3.83944851798242,0.503395061728395,0.603341729217538
23,14.9607640614466,3.8135067313283,0.503549382716049,0.60342319586052
24,14.9242118314667,3.77741682330469,0.503703703703704,0.6034536893259
25,15.0221722135112,3.87582847771032,0.503858024691358,0.603612361009447
26,15.0911991369703,3.94529601531921,0.504012345679012,0.603867213837829
27,14.9145084941747,3.76903570555167,0.504166666666667,0.603859524359394
28,15.0119747058994,3.86692233251806,0.504320987654321,0.60399736697782
29,14.8364718654636,3.69183033963757,0.504475308641975,0.603848830122141
30,15.0080028644049,3.86376295581109,0.50462962962963,0.603980136342648
