0,0.500152,0.500152,0.5
1,0.500113,0.500306,0.500154
2,0.500267,0.500457,0.500309
3,0.500418,0.500639,0.500463
4,0.500597,0.500782,0.500617
5,0.500744,0.500946,0.500772
6,0.500906,0.501102,0.500926
7,0.501063,0.501242,0.50108
8,0.501203,0.501404,0.501235
9,0.501364,0.50154,0.501389
10,0.501501,0.501723,0.501543
11,0.501683,0.501816,0.501698
12,0.501779,0.502025,0.501852
13,0.501984,0.502167,0.502006
14,0.502128,0.502332,0.50216
15,0.502292,0.502462,0.502315
16,0.502423,0.502576,0.502469
17,0.502537,0.502865,0.502623
18,0.502823,0.503009,0.502778
19,0.50297,0.503195,0.502932
20,0.503155,0.503306,0.503086
21,0.503267,0.503427,0.503241
22,0.503387,0.503574,0.503395
23,0.503534,0.503698,0.503549
24,0.503659,0.50379,0.503704
25,0.503752,0.50397,0.503858
26,0.50393,0.504216,0.504012
27,0.504175,0.504287,0.504167
28,0.504248,0.504458,0.504321
29,0.504419,0.504438,0.504475
30,0.5044,0.504607,0.50463
31,0.504568,0.504956,0.504784
32,0.504915,0.505189,0.504938
33,0.505148,0.505315,0.505093
34,0.505276,0.505673,0.505247
35,0.505632,0.505967,0.505401
36,0.505927,0.506404,0.505556
37,0.506362,0.506632,0.50571
38,0.506591,0.506904,0.505864
39,0.506863,0.507113,0.506019
40,0.507073,0.507378,0.506173
41,0.507338,0.507321,0.506327
42,0.507282,0.507637,0.506481
43,0.507596,0.507742,0.506636
44,0.507703,0.507936,0.50679
45,0.507896,0.508009,0.506944
46,0.50797,0.507901,0.507099
47,0.507863,0.508164,0.507253
48,0.508124,0.508346,0.507407
49,0.508306,0.508424,0.507562
50,0.508385,0.509092,0.507716
51,0.50905,0.509334,0.50787
52,0.509294,0.509736,0.508025
53,0.509695,0.509672,0.508179
54,0.509633,0.50991,0.508333
55,0.50987,0.509772,0.508488
56,0.509733,0.510336,0.508642
57,0.510294,0.510684,0.508796
58,0.510644,0.510307,0.508951
59,0.510269,0.510446,0.509105
60,0.510407,0.510316,0.509259
61,0.510277,0.510688,0.509414
62,0.510648,0.51069,0.509568
63,0.510651,0.510443,0.509722
64,0.510404,0.510781,0.509877
65,0.510741,0.510977,0.510031
66,0.510937,0.511538,0.510185
67,0.511496,0.511838,0.51034
68,0.511798,0.512229,0.510494
69,0.512188,0.51292,0.510648
70,0.512878,0.513222,0.510802
71,0.513182,0.51357,0.510957
72,0.51353,0.513562,0.511111
73,0.513522,0.513346,0.511265
74,0.513307,0.513428,0.51142
75,0.513389,0.513706,0.511574
76,0.513666,0.514502,0.511728
77,0.51446,0.514804,0.511883
78,0.514764,0.514665,0.512037
79,0.514626,0.515491,0.512191
80,0.515449,0.515298,0.512346
81,0.515259,0.515444,0.5125
82,0.515405,0.515658,0.512654
83,0.515618,0.51614,0.512809
84,0.5161,0.516649,0.512963
85,0.516609,0.516622,0.513117
86,0.516582,0.516808,0.513272
87,0.516768,0.517293,0.513426
88,0.517252,0.51705,0.51358
89,0.517012,0.516678,0.513735
90,0.516639,0.516346,0.513889
91,0.516307,0.515955,0.514043
92,0.515917,0.516237,0.514198
93,0.516196,0.517017,0.514352
94,0.516976,0.517829,0.514506
95,0.517788,0.517958,0.51466
96,0.517918,0.517839,0.514815
97,0.5178,0.517916,0.514969
98,0.517876,0.517457,0.515123
99,0.517418,0.517869,0.515278
100,0.517829,0.517151,0.515432
101,0.517113,0.517664,0.515586
102,0.517623,0.517345,0.515741
103,0.517306,0.517496,0.515895
104,0.517456,0.517286,0.516049
105,0.517247,0.518015,0.516204
106,0.517974,0.517966,0.516358
107,0.517926,0.51825,0.516512
108,0.51821,0.518159,0.516667
109,0.51812,0.518155,0.516821
110,0.518115,0.518241,0.516975
111,0.518201,0.518184,0.51713
112,0.518145,0.517507,0.517284
113,0.517468,0.518761,0.517438
114,0.518719,0.518658,0.517593
115,0.518619,0.519542,0.517747
116,0.519501,0.518319,0.517901
117,0.518281,0.518183,0.518056
118,0.518144,0.517816,0.51821
119,0.517777,0.518047,0.518364
120,0.518007,0.517864,0.518519
121,0.517825,0.516714,0.518673
122,0.516676,0.516602,0.518827
123,0.516562,0.517446,0.518981
124,0.517405,0.518479,0.519136
125,0.518437,0.519629,0.51929
126,0.519587,0.520244,0.519444
127,0.520203,0.520606,0.519599
128,0.520566,0.521093,0.519753
129,0.521052,0.520504,0.519907
130,0.520466,0.520079,0.520062
131,0.52004,0.519842,0.520216
132,0.519803,0.520335,0.52037
133,0.520294,0.519746,0.520525
134,0.519708,0.519367,0.520679
135,0.519328,0.519656,0.520833
136,0.519616,0.518182,0.520988
137,0.518145,0.518195,0.521142
138,0.518155,0.518177,0.521296
139,0.518138,0.518248,0.521451
140,0.518209,0.518475,0.521605
141,0.518435,0.51994,0.521759
142,0.519898,0.519948,0.521914
143,0.519908,0.520803,0.522068
144,0.520762,0.520612,0.522222
145,0.520573,0.520337,0.522377
146,0.520297,0.519878,0.522531
147,0.519839,0.520728,0.522685
148,0.520687,0.521468,0.52284
149,0.521427,0.52174,0.522994
150,0.5217,0.521986,0.523148
151,0.521946,0.52227,0.523302
152,0.52223,0.52188,0.523457
153,0.521841,0.521395,0.523611
154,0.521357,0.521107,0.523765
155,0.521068,0.520848,0.52392
156,0.520809,0.520263,0.524074
157,0.520224,0.520854,0.524228
158,0.520814,0.521367,0.524383
159,0.521327,0.520984,0.524537
160,0.520945,0.521374,0.524691
161,0.521334,0.522166,0.524846
162,0.522125,0.523273,0.525
163,0.523232,0.524454,0.525154
164,0.524413,0.524118,0.525309
165,0.524079,0.523568,0.525463
166,0.523529,0.523615,0.525617
167,0.523576,0.523974,0.525772
168,0.523934,0.523557,0.525926
169,0.523518,0.523391,0.52608
170,0.523351,0.52365,0.526235
171,0.52361,0.522921,0.526389
172,0.522883,0.523239,0.526543
173,0.523199,0.523433,0.526698
174,0.523393,0.52443,0.526852
175,0.524389,0.525031,0.527006
176,0.524991,0.525678,0.52716
177,0.525638,0.526311,0.527315
178,0.526271,0.525769,0.527469
179,0.52573,0.525355,0.527623
180,0.525316,0.525321,0.527778
181,0.525282,0.524205,0.527932
182,0.524167,0.522755,0.528086
183,0.522717,0.523839,0.528241
184,0.523798,0.524951,0.528395
185,0.52491,0.524448,0.528549
186,0.524409,0.525027,0.528704
187,0.524987,0.524816,0.528858
188,0.524777,0.525569,0.529012
189,0.525528,0.526987,0.529167
190,0.526946,0.526995,0.529321
