time,current,voltage,soc
139.000000,2.000000,4.030456,0.978502
140.000000,2.000000,4.030132,0.978261
141.000000,2.000000,4.029811,0.978019
142.000000,2.000000,4.029493,0.977778
143.000000,2.000000,4.029178,0.977536
144.000000,2.000000,4.028867,0.977295
145.000000,2.000000,4.028558,0.977053
146.000000,2.000000,4.028252,0.976812
147.000000,2.000000,4.027948,0.976570
148.000000,2.000000,4.027647,0.976329
149.000000,2.000000,4.027348,0.976087
150.000000,2.000000,4.027052,0.975845
151.000000,2.000000,4.026757,0.975604
152.000000,2.000000,4.026465,0.975362
153.000000,2.000000,4.026175,0.975121
154.000000,2.000000,4.025886,0.974879
155.000000,2.000000,4.025600,0.974638
156.000000,2.000000,4.025315,0.974396
157.000000,2.000000,4.025032,0.974155
158.000000,2.000000,4.024751,0.973913
159.000000,2.000000,4.024471,0.973671
160.000000,2.000000,4.024193,0.973430
161.000000,2.000000,4.023916,0.973188
162.000000,2.000000,4.023641,0.972947
163.000000,2.000000,4.023366,0.972705
164.000000,2.000000,4.023094,0.972464
165.000000,2.000000,4.022822,0.972222
166.000000,2.000000,4.022551,0.971981
167.000000,2.000000,4.022282,0.971739
168.000000,2.000000,4.022014,0.971498
169.000000,2.000000,4.021746,0.971256
170.000000,2.000000,4.021480,0.971014
171.000000,2.000000,4.021215,0.970773
172.000000,2.000000,4.020950,0.970531
173.000000,2.000000,4.020687,0.970290
174.000000,2.000000,4.020424,0.970048
175.000000,2.000000,4.020162,0.969807
176.000000,2.000000,4.019901,0.969565
177.000000,2.000000,4.019640,0.969324
178.000000,2.000000,4.019380,0.969082
179.000000,2.000000,4.019121,0.968841
180.000000,2.000000,4.018863,0.968599
181.000000,2.000000,4.018605,0.968357
182.000000,2.000000,4.018348,0.968116
183.000000,2.000000,4.018091,0.967874
184.000000,2.000000,4.017835,0.967633
185.000000,2.000000,4.017579,0.967391
186.000000,2.000000,4.017324,0.967150
187.000000,2.000000,4.017069,0.966908
188.000000,2.000000,4.016815,0.966667
189.000000,2.000000,4.016561,0.966425
190.000000,2.000000,4.016308,0.966184
191.000000,2.000000,4.016055,0.965942
192.000000,2.000000,4.015803,0.965700
193.000000,2.000000,4.015550,0.965459
194.000000,2.000000,4.015299,0.965217
195.000000,2.000000,4.015047,0.964976
196.000000,2.000000,4.014796,0.964734
197.000000,2.000000,4.014545,0.964493
198.000000,2.000000,4.014295,0.964251
199.000000,2.000000,4.014044,0.964010
200.000000,0.500000,4.036294,0.963768
201.000000,0.500000,4.036839,0.963708
202.000000,0.500000,4.037359,0.963647
203.000000,0.500000,4.037856,0.963587
204.000000,0.500000,4.038330,0.963527
205.000000,0.500000,4.038781,0.963466
206.000000,0.500000,4.039212,0.963406
207.000000,0.500000,4.039623,0.963345
208.000000,0.500000,4.040015,0.963285
209.000000,0.500000,4.040388,0.963225
210.000000,0.500000,4.040744,0.963164
211.000000,0.500000,4.041082,0.963104
212.000000,0.500000,4.041404,0.963043
213.000000,0.500000,4.041711,0.962983
214.000000,0.500000,4.042003,0.962923
215.000000,0.500000,4.042280,0.962862
216.000000,0.500000,4.042543,0.962802
217.000000,0.500000,4.042793,0.962742
218.000000,0.500000,4.043031,0.962681
219.000000,0.500000,4.043256,0.962621
220.000000,0.500000,4.043470,0.962560
221.000000,0.500000,4.043672,0.962500
222.000000,0.500000,4.043864,0.962440
223.000000,0.500000,4.044045,0.962379
224.000000,0.500000,4.044217,0.962319
225.000000,0.500000,4.044379,0.962258
226.000000,0.500000,4.044531,0.962198
227.000000,0.500000,4.044676,0.962138
228.000000,0.500000,4.044811,0.962077
229.000000,0.500000,4.044939,0.962017
230.000000,0.500000,4.045059,0.961957
231.000000,0.500000,4.045172,0.961896
232.000000,0.500000,4.045278,0.961836
233.000000,0.500000,4.045376,0.961775
234.000000,0.500000,4.045469,0.961715
235.000000,0.500000,4.045555,0.961655
236.000000,0.500000,4.045635,0.961594
237.000000,0.500000,4.045709,0.961534
238.000000,0.500000,4.045778,0.961473
239.000000,0.500000,4.045841,0.961413
240.000000,0.500000,4.045900,0.961353
241.000000,0.500000,4.045953,0.961292
242.000000,0.500000,4.046002,0.961232
243.000000,0.500000,4.046047,0.961171
244.000000,0.500000,4.046087,0.961111
245.000000,0.500000,4.046123,0.961051
246.000000,0.500000,4.046155,0.960990
247.000000,0.500000,4.046183,0.960930
248.000000,0.500000,4.046208,0.960870
249.000000,0.500000,4.046229,0.960809
250.000000,0.500000,4.046247,0.960749
251.000000,0.500000,4.046261,0.960688
252.000000,0.500000,4.046273,0.960628
253.000000,0.500000,4.046281,0.960568
254.000000,0.500000,4.046287,0.960507
255.000000,0.500000,4.046290,0.960447
256.000000,0.500000,4.046290,0.960386
257.000000,0.500000,4.046288,0.960326
258.000000,0.500000,4.046284,0.960266
259.000000,0.500000,4.046277,0.960205
260.000000,0.500000,4.046268,0.960145
261.000000,0.500000,4.046257,0.960085
262.000000,0.500000,4.046243,0.960024
263.000000,0.500000,4.046228,0.959964
264.000000,0.500000,4.046211,0.959903
265.000000,0.500000,4.046193,0.959843
266.000000,0.500000,4.046172,0.959783
267.000000,0.500000,4.046150,0.959722
268.000000,0.500000,4.046126,0.959662
