time,SOC_true,SOC_ekf
0,0.5,0.50015180868466
1,0.500154320987654,0.500305865856311
2,0.500308641975309,0.500456918914631
3,0.500462962962963,0.500638628578247
4,0.500617283950617,0.500782360713387
5,0.500771604938272,0.500945545408632
6,0.500925925925926,0.501102403528963
7,0.50108024691358,0.501242237263671
8,0.501234567901235,0.501403523043913
9,0.501388888888889,0.501539667136437
10,0.501543209876543,0.501722963761627
11,0.501697530864198,0.501816378703832
12,0.501851851851852,0.502024580322149
13,0.502006172839506,0.502167332516937
14,0.502160493827161,0.502332229973118
15,0.502314814814815,0.502461584174514
16,0.502469135802469,0.502575596232667
17,0.502623456790123,0.502864564700927
18,0.502777777777778,0.503009049598882
19,0.502932098765432,0.503195224277797
20,0.503086419753086,0.503306025509855
21,0.503240740740741,0.503426544597422
22,0.503395061728395,0.503573563858925
23,0.503549382716049,0.503698421163968
24,0.503703703703704,0.503790412445762
25,0.503858024691358,0.503969658174998
26,0.504012345679012,0.504215661970758
27,0.504166666666667,0.504287221865688
28,0.504320987654321,0.504458329629771
29,0.504475308641975,0.50443776184063
30,0.50462962962963,0.504607494221043
31,0.504783950617284,0.504956242004451
32,0.504938271604938,0.505188615489588
33,0.505092592592593,0.50531507850822
34,0.505246913580247,0.505673433372866
35,0.505401234567901,0.505967397166972
36,0.505555555555556,0.506403739773215
37,0.50570987654321,0.50663161779457
38,0.505864197530864,0.50690374338898
39,0.506018518518519,0.507113211354231
40,0.506172839506173,0.507378311640191
41,0.506327160493827,0.507320816430431
42,0.506481481481482,0.507637105011811
43,0.506635802469136,0.507742332978983
44,0.50679012345679,0.507935941616976
45,0.506944444444444,0.508009085228852
46,0.507098765432099,0.507900895499722
47,0.507253086419753,0.508164129102446
48,0.507407407407407,0.508345564996296
49,0.507561728395062,0.50842442968426
50,0.507716049382716,0.50909180056767
51,0.50787037037037,0.509334210325101
52,0.508024691358025,0.509736247133953
53,0.508179012345679,0.509671959941481
54,0.508333333333333,0.509909643430834
55,0.508487654320988,0.509771626586002
56,0.508641975308642,0.510335824296293
57,0.508796296296296,0.510684412694648
58,0.508950617283951,0.510306768210411
59,0.509104938271605,0.510446382446061
60,0.509259259259259,0.510315951462246
61,0.509413580246914,0.510688449749141
62,0.509567901234568,0.510689992277561
63,0.509722222222222,0.510442524070338
64,0.509876543209877,0.510781230872785
65,0.510030864197531,0.510977130851916
66,0.510185185185185,0.511537518419244
67,0.51033950617284,0.511838366414186
68,0.510493827160494,0.512228945953007
69,0.510648148148148,0.512919600643927
70,0.510802469135803,0.513221839001573
71,0.510956790123457,0.513570211260712
72,0.511111111111111,0.513561609589196
73,0.511265432098765,0.51334598913942
74,0.51141975308642,0.513428422810187
75,0.511574074074074,0.513706268890977
76,0.511728395061728,0.514501862276664
77,0.511882716049383,0.514804043042113
78,0.512037037037037,0.514664970119569
79,0.512191358024691,0.515490739983401
80,0.512345679012346,0.515297866678099
81,0.5125,0.515444446155682
82,0.512654320987654,0.515658062485801
83,0.512808641975309,0.516140289331633
84,0.512962962962963,0.51664938609757
85,0.513117283950617,0.516621742782739
86,0.513271604938272,0.51680754091269
87,0.513425925925926,0.517292550085243
88,0.51358024691358,0.517050483432211
89,0.513734567901235,0.516677897048919
90,0.513888888888889,0.516346014906621
91,0.514043209876543,0.515955088877567
92,0.514197530864198,0.516236621145289
93,0.514351851851852,0.517017208739665
94,0.514506172839506,0.517828921705861
95,0.514660493827161,0.517957784926052
96,0.514814814814815,0.517839287603993
97,0.514969135802469,0.517915792926713
98,0.515123456790124,0.517456798232734
99,0.515277777777778,0.517868998511186
100,0.515432098765432,0.517150774195694
101,0.515586419753086,0.517663624319231
102,0.515740740740741,0.517344833758327
103,0.515895061728395,0.517495731518987
104,0.516049382716049,0.517285730854982
105,0.516203703703704,0.518014707026761
106,0.516358024691358,0.517965814718083
107,0.516512345679012,0.518250006771257
108,0.516666666666667,0.518159406614637
109,0.516820987654321,0.518155009574313
110,0.516975308641975,0.518240673349311
111,0.51712962962963,0.518184492818572
112,0.517283950617284,0.517506612709642
113,0.517438271604938,0.518761471349601
114,0.517592592592593,0.518658001861061
115,0.517746913580247,0.519541958285397
116,0.517901234567901,0.518318718456567
117,0.518055555555556,0.51818284011051
118,0.51820987654321,0.517815768720259
119,0.518364197530864,0.518047431198919
120,0.518518518518518,0.517863967290846
121,0.518672839506173,0.516713579382076
122,0.518827160493827,0.51660164951243
123,0.518981481481481,0.517445939110801
124,0.519135802469136,0.5184786730858
125,0.51929012345679,0.519628745960035
126,0.519444444444444,0.520244107217236
127,0.519598765432099,0.520606428041927
128,0.519753086419753,0.521092784705323
129,0.519907407407407,0.520504159038485
130,0.520061728395062,0.520078609608705
131,0.520216049382716,0.519842086592082
132,0.52037037037037,0.520334580640938
133,0.520524691358025,0.519746253970488
134,0.520679012345679,0.519366553338282
135,0.520833333333333,0.5196557285882
136,0.520987654320988,0.518182090786433
137,0.521141975308642,0.518194538785705
138,0.521296296296296,0.518177421863954
139,0.521450617283951,0.518248240403918
140,0.521604938271605,0.518475041822134
141,0.521759259259259,0.519939652572428
142,0.521913580246914,0.519947851250689
143,0.522067901234568,0.52080259701949
144,0.522222222222222,0.520612049210816
145,0.522376543209877,0.520336628932873
146,0.522530864197531,0.519878131829941
147,0.522685185185185,0.520728112536997
148,0.522839506172839,0.52146809494475
149,0.522993827160494,0.521739951186944
150,0.523148148148148,0.521986456708585
151,0.523302469135802,0.522270224467162
152,0.523456790123457,0.521880227542966
153,0.523611111111111,0.521395487987738
154,0.523765432098765,0.521106940885766
155,0.52391975308642,0.520848436830921
156,0.524074074074074,0.520263037712854
157,0.524228395061728,0.520854387765961
158,0.524382716049383,0.521367200750406
159,0.524537037037037,0.520984303043109
160,0.524691358024691,0.521374216096725
161,0.524845679012346,0.522165618316234
162,0.525,0.523273443367165
163,0.525154320987654,0.524454348013796
164,0.525308641975309,0.52411776947345
165,0.525462962962963,0.52356787133706
166,0.525617283950617,0.523615406022929
167,0.525771604938272,0.523973981555403
168,0.525925925925926,0.523556697789584
169,0.52608024691358,0.523390598463623
170,0.526234567901235,0.523650205042589
171,0.526388888888889,0.522921352669922
172,0.526543209876543,0.52323917058462
173,0.526697530864198,0.523432807841968
174,0.526851851851852,0.524429998663896
175,0.527006172839506,0.525031334155638
176,0.52716049382716,0.525678209274242
177,0.527314814814815,0.526311473060067
178,0.527469135802469,0.525769490462752
179,0.527623456790123,0.525355118101301
180,0.527777777777778,0.525321399360695
181,0.527932098765432,0.524205122283469
182,0.528086419753086,0.522755005734458
183,0.528240740740741,0.523839179253671
184,0.528395061728395,0.524951122590441
185,0.528549382716049,0.52444827777489
186,0.528703703703704,0.525027038208479
187,0.528858024691358,0.524816024426035
188,0.529012345679012,0.525568852100134
189,0.529166666666667,0.526987485785413
190,0.529320987654321,0.526994948461088
191,0.529475308641975,0.526256441320517
192,0.52962962962963,0.526347137685531
193,0.529783950617284,0.526457139445158
194,0.529938271604938,0.526292326100758
195,0.530092592592593,0.526722698655728
196,0.530246913580247,0.525328349664863
197,0.530401234567901,0.525317175937107
198,0.530555555555556,0.525981765017586
199,0.53070987654321,0.52581823394851
200,0.530864197530864,0.527389492906743
201,0.531018518518519,0.527423620786408
202,0.531172839506173,0.527731236515981
203,0.531327160493827,0.528964799231712
204,0.531481481481481,0.530540261829534
205,0.531635802469136,0.53045865386324
206,0.53179012345679,0.531274179178362
207,0.531944444444444,0.531702973814414
208,0.532098765432099,0.532246643952352
209,0.532253086419753,0.53254208977369
210,0.532407407407407,0.532735786011495
211,0.532561728395062,0.532630040282293
212,0.532716049382716,0.532932255397262
213,0.53287037037037,0.533253704095353
214,0.533024691358025,0.534848346768218
215,0.533179012345679,0.536255946493282
216,0.533333333333333,0.53684810160782
217,0.533487654320988,0.536788868277708
218,0.533641975308642,0.536433559199054
219,0.533796296296296,0.536851430898288
220,0.533950617283951,0.536634189716748
221,0.534104938271605,0.537633522200343
222,0.534259259259259,0.538808732965074
223,0.534413580246914,0.536526208308728
224,0.534567901234568,0.536465449118895
225,0.534722222222222,0.536372805084962
226,0.534876543209877,0.536775350845603
227,0.535030864197531,0.538554295897505
228,0.535185185185185,0.537318080482677
229,0.53533950617284,0.537180248778319
230,0.535493827160494,0.537658091338521
231,0.535648148148148,0.536279515669533
232,0.535802469135802,0.535644332427813
233,0.535956790123457,0.535583696311551
234,0.536111111111111,0.536111507045039
235,0.536265432098765,0.535465660194614
236,0.53641975308642,0.53453749532463
237,0.536574074074074,0.534933941706804
238,0.536728395061728,0.534779116626161
239,0.536882716049383,0.534721811181243
240,0.537037037037037,0.535564853302153
241,0.537191358024691,0.535354585217759
242,0.537345679012346,0.535005667140751
243,0.5375,0.537187774953192
244,0.537654320987654,0.537689570974183
245,0.537808641975309,0.539476249552143
246,0.537962962962963,0.540313684072258
247,0.538117283950617,0.539043787167543
248,0.538271604938272,0.540304461009243
249,0.538425925925926,0.540781968578185
250,0.53858024691358,0.540568515741754
251,0.538734567901235,0.540657882088538
252,0.538888888888889,0.540637031140518
253,0.539043209876543,0.542380577162125
254,0.539197530864198,0.542882547784748
255,0.539351851851852,0.544960471098109
256,0.539506172839506,0.544799767433613
257,0.539660493827161,0.543608923781853
258,0.539814814814815,0.544258721123729
259,0.539969135802469,0.544804424567802
260,0.540123456790123,0.543205577762372
261,0.540277777777778,0.543745859505683
262,0.540432098765432,0.543886481620886
263,0.540586419753086,0.544775174363978
264,0.540740740740741,0.543321212498857
265,0.540895061728395,0.5443368879618
266,0.541049382716049,0.544396454488427
267,0.541203703703704,0.545260121701981
268,0.541358024691358,0.545138151182195
269,0.541512345679012,0.544315063440269
270,0.541666666666667,0.543471032879109
271,0.541820987654321,0.54387650446005
272,0.541975308641975,0.545347283437787
273,0.54212962962963,0.544377251257266
274,0.542283950617284,0.545200807713864
275,0.542438271604938,0.545979324110087
276,0.542592592592593,0.546714978310888
277,0.542746913580247,0.546746807172992
278,0.542901234567901,0.546761308597391
279,0.543055555555556,0.546397184274128
280,0.54320987654321,0.547108515806104
281,0.543364197530864,0.545496385158661
282,0.543518518518519,0.545590153781482
283,0.543672839506173,0.544001194125775
284,0.543827160493827,0.543535128658964
285,0.543981481481482,0.543707387149335
286,0.544135802469136,0.542637224688354
287,0.54429012345679,0.545206523539393
288,0.544444444444444,0.544990529680953
289,0.544598765432099,0.544524791787842
290,0.544753086419753,0.547134563686021
291,0.544907407407407,0.548071724141825
292,0.545061728395062,0.547602801175259
293,0.545216049382716,0.548379934691148
294,0.54537037037037,0.549035784119793
295,0.545524691358025,0.549243133665902
296,0.545679012345679,0.547663930823699
297,0.545833333333333,0.548602486357811
298,0.545987654320988,0.549764994698063
299,0.546141975308642,0.549098291357215
300,0.546296296296296,0.549577885036006
301,0.546450617283951,0.547668016038672
302,0.546604938271605,0.545672462648324
303,0.546759259259259,0.546316650618832
304,0.546913580246914,0.546578441909014
305,0.547067901234568,0.548079474791874
306,0.547222222222222,0.548003557642161
307,0.547376543209876,0.548310320890183
308,0.547530864197531,0.547721204518782
309,0.547685185185185,0.550019267691064
310,0.547839506172839,0.548295863958318
311,0.547993827160494,0.547483063175059
312,0.548148148148148,0.548357935026901
313,0.548302469135802,0.546777032636826
314,0.548456790123457,0.547615998634188
315,0.548611111111111,0.549107235207465
316,0.548765432098765,0.550532943544928
317,0.54891975308642,0.550043477286745
318,0.549074074074074,0.551163083113835
319,0.549228395061728,0.550797288746563
320,0.549382716049383,0.550840283684161
321,0.549537037037037,0.550950284572723
322,0.549691358024691,0.54946986096846
323,0.549845679012346,0.551354691664057
324,0.55,0.553299618524529
325,0.550154320987654,0.554257019646377
326,0.550308641975309,0.554949729706718
327,0.550462962962963,0.555172184207356
328,0.550617283950617,0.554723622903154
329,0.550771604938272,0.555361491320894
330,0.550925925925926,0.55537677127075
331,0.55108024691358,0.557681396667973
332,0.551234567901235,0.557353673226726
333,0.551388888888889,0.556225489302563
334,0.551543209876543,0.555079797535049
335,0.551697530864197,0.556113171472726
336,0.551851851851852,0.554668172440086
337,0.552006172839506,0.555757623398777
338,0.55216049382716,0.556014719235884
