time,V_data,I_data,SOC_true,SOC_ekf
0,14.9206310273647,3.75852352736475,0.5,0.50015180868466
1,14.9583497472359,3.79710978965445,0.500154320987654,0.500305865856311
2,14.9217439183399,3.76134586048964,0.500308641975309,0.500456918914631
3,15.214570397046,4.05498953090463,0.500462962962963,0.500638628578247
4,14.9213956160792,3.7626081330102,0.500617283950617,0.500782360713387
5,15.0448135509485,3.88679650780612,0.500771604938272,0.500945545408632
6,15.0098435509121,3.85257483747332,0.500925925925926,0.501102403528963
7,14.9326093816663,3.77606768933584,0.50108024691358,0.501242237263671
8,15.0200396628726,3.86420445461,0.501234567901235,0.501403523043913
9,14.9311656046701,3.77601708608761,0.501388888888889,0.501539667136437
10,15.0816463823865,3.92716547397168,0.501543209876543,0.501722963761627
11,14.8240548814107,3.67022319182769,0.501697530864198,0.501816378703832
12,15.1263539216212,3.97315372204679,0.501851851851852,0.502024580322149
13,14.967154697431,3.81456889688363,0.502006172839506,0.502167332516937
14,15.0163564142904,3.8643685359132,0.502160493827161,0.502332229973118
15,14.9445099134302,3.79310407168798,0.502314814814815,0.502461584174514
16,14.9180222142184,3.76718309297324,0.502469135802469,0.502575596232667
17,15.2244278942656,4.07414072569508,0.502623456790123,0.502864564700927
18,14.9818568759043,3.83210742022935,0.502777777777778,0.503009049598882
19,15.0458794305957,3.89665395658479,0.502932098765432,0.503195224277797
20,14.9364435565244,3.7877288227437,0.503086419753086,0.503306025509855
21,14.951720929047,3.80350416582703,0.503240740740741,0.503426544597422
22,14.9871796258926,3.83944851798242,0.503395061728395,0.503573563858925
23,14.9607640614466,3.8135067313283,0.503549382716049,0.503698421163968
24,14.9242118314667,3.77741682330469,0.503703703703704,0.503790412445762
25,15.0221722135112,3.87582847771032,0.503858024691358,0.503969658174998
26,15.0911991369703,3.94529601531921,0.504012345679012,0.504215661970758
27,14.9145084941747,3.76903570555167,0.504166666666667,0.504287221865688
28,15.0119747058994,3.86692233251806,0.504320987654321,0.504458329629771
29,14.8364718654636,3.69183033963757,0.504475308641975,0.50443776184063
30,15.0080028644049,3.86376295581109,0.50462962962963,0.504607494221043
31,15.1587679678079,4.01492077122872,0.504783950617284,0.504956242004451
32,15.0599602208212,3.91649714434728,0.504938271604938,0.505188615489588
33,14.9757983566152,3.83271111029075,0.505092592592593,0.50531507850822
34,15.1507290928134,4.00800967770629,0.505246913580247,0.505673433372866
35,15.1000380532481,3.95767875092923,0.505401234567901,0.505967397166972
36,15.1969706277492,4.05496399016441,0.505555555555556,0.506403739773215
37,15.0511889173876,3.90952775710725,0.50570987654321,0.50663161779457
38,15.0788281063557,3.93750548718743,0.505864197530864,0.50690374338898
39,15.0373662533984,3.89637548134909,0.506018518518519,0.507113211354231
40,15.0705724972566,3.92990711182977,0.506172839506173,0.507378311640191
41,14.8774258753227,3.73707964113858,0.506327160493827,0.507320816430431
42,15.0957673337317,3.95573423245792,0.506481481481482,0.507637105011811
43,14.9752844043358,3.83555862691628,0.506635802469136,0.507742332978983
44,15.0240033692029,3.88457930837372,0.50679012345679,0.507935941616976
45,14.9595466020734,3.82041884515507,0.506944444444444,0.508009085228852
46,14.8664610491615,3.72762437111634,0.507098765432099,0.507900895499722
47,15.056446734201,3.91789609094604,0.507253086419753,0.508164129102446
48,15.0150713957423,3.8768019177082,0.507407407407407,0.508345564996296
49,14.9655174871485,3.82752447307434,0.507561728395062,0.50842442968426
50,15.2422809794592,4.10455989041512,0.507716049382716,0.50909180056767
51,15.0431333246678,3.90567977829586,0.50787037037037,0.509334210325101
52,15.1135759791488,3.97638574411512,0.508024691358025,0.509736247133953
53,14.9084756582888,3.77154464893745,0.508179012345679,0.509671959941481
54,15.0386107211178,3.90193499232048,0.508333333333333,0.509909643430834
55,14.881172429727,3.74474817191938,0.508487654320988,0.509771626586002
56,15.1703214480305,4.03414498242985,0.508641975308642,0.510335824296293
57,15.0810457343069,3.9451135083031,0.508796296296296,0.510684412694648
58,14.795396694411,3.65970527712491,0.508950617283951,0.510306768210411
59,14.9968176376487,3.86136371565156,0.509104938271605,0.510446382446061
60,14.8947552964329,3.7595356696206,0.509259259259259,0.510315951462246
61,15.0828881951559,3.94789977277242,0.509413580246914,0.510688449749141
62,14.9465321400816,3.81177193688596,0.509567901234568,0.510689992277561
63,14.8579626509372,3.72342778350913,0.509722222222222,0.510442524070338
64,15.0660994996696,3.93178718284787,0.509876543209877,0.510781230872785
65,15.0157765131816,3.8816840566306,0.510030864197531,0.510977130851916
66,15.1395710136492,4.00569581854922,0.510185185185185,0.511537518419244
67,15.0510252719876,3.9173648278435,0.51033950617284,0.511838366414186
68,15.0798065245543,3.94635840611906,0.510493827160494,0.512228945953007
69,15.1753994106724,4.04216127498084,0.510648148148148,0.512919600643927
70,15.0503411789143,3.91731076242266,0.510802469135803,0.513221839001573
71,15.0640876836895,3.93126279951765,0.510956790123457,0.513570211260712
72,14.9544007925189,3.82177932779053,0.511111111111111,0.513561609589196
73,14.8924491175338,3.76002903081215,0.511265432098765,0.51334598913942
74,14.9817629721588,3.84954229097316,0.51141975308642,0.513428422810187
75,15.0391845967627,3.90716141522319,0.511574074074074,0.513706268890977
76,15.1882698667534,4.0564423432506,0.511728395061728,0.514501862276664
77,15.0460256013976,3.91439195638356,0.511882716049383,0.514804043042113
78,14.9223843932547,3.79094290710325,0.512037037037037,0.514664970119569
79,15.1890868714935,4.05783588243574,0.512191358024691,0.515490739983401
80,14.9106805116445,3.7796184137778,0.512345679012346,0.515297866678099
81,15.0021173801283,3.87124262149556,0.5125,0.515444446155682
82,15.0198239285751,3.88913500931183,0.512654320987654,0.515658062485801
83,15.0898141558702,3.95930962641703,0.512808641975309,0.516140289331633
84,15.0959146185976,3.9655930779757,0.512962962962963,0.51664938609757
85,14.9589611195206,3.82882121366796,0.513117283950617,0.516621742782739
86,15.012665269697,3.88270568986336,0.513271604938272,0.51680754091269
87,15.0866827365891,3.95690221778669,0.513425925925926,0.517292550085243
88,14.9083824485732,3.77877976808272,0.51358024691358,0.517050483432211
89,14.8770335691192,3.74760754504751,0.513734567901235,0.516677897048919
